Indicator,PUBLISH STATES,Year,Age Group,Sex,Region,Causes,Display Value,Numeric,Low,High,Comments
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Other digestive diseases,5,4.50,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Periodontal disease,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Genitourinary diseases,50,50.05,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Rheumatoid arthritis,2,1.62,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Other malignant neoplasms,1,1.21,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Onchocerciasis,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Idiopathic intellectual disability,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Intestinal nematode infections,0,0.12,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Stroke,30,30.18,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Gout,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Childhood-cluster diseases,1,1.19,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Childhood behavioural disorders,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Vitamin A deficiency,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Down's syndrome,0,0.09,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Cataracts,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Pervasive developmental disorders,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Lymphatic filariasis,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Drowning,4,4.42,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Multiple sclerosis,0,0.31,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Edentulism,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Kidney diseases,12,12.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,STDs excluding HIV,1,0.63,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Acute hepatitis C,1,1.20,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Neonatal conditions,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Parkinson's disease,0,0.29,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Prostate cancer,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Congenital heart anomalies,1,1.18,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Acute hepatitis C,0,0.34,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Cleft lip and cleft palate,0,0.20,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Rabies,2,1.59,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Down's syndrome,1,0.70,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Other infectious diseases,17,17.12,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Gonorrhoea,0,0.03,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Birth asphyxia and birth trauma,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Bladder cancer,1,0.70,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Malignant neoplasms,256,256.37,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Self-harm,18,18.32,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Asthma,8,8.50,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Neurological conditions,14,14.42,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Ischaemic heart disease,1,1.17,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Cervix uteri cancer,12,12.42,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Peptic ulcer disease,17,17.24,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Drowning,3,3.09,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Mental and behavioral disorders,0,0.40,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Refractive errors,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Diphtheria,0,0.21,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Leukaemia,5,4.80,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Leprosy,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Intentional injuries,8,7.68,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,"Trachea, bronchus, lung cancers",2,2.14,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Cardiovascular diseases,72,71.73,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Acute hepatitis B,2,2.10,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Periodontal disease,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Digestive diseases,8,8.46,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,HIV/AIDS,26,26.39,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Trachoma,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Skin diseases,1,0.98,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Trichomoniasis,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,"Fire, heat and hot substances",11,11.28,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Leprosy,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Maternal conditions,31,30.89,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Neural tube defects,0,0.07,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Unipolar depressive disorders,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Non-migraine headache,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Lymphatic filariasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Chronic obstructive pulmonary disease,9,8.68,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Tetanus,2,1.96,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Other neonatal conditions,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Bipolar disorder,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Other respiratory diseases,7,7.37,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Other hearing loss,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Idiopathic intellectual disability,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Chlamydia,0,0.05,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Melanoma and other skin cancers,4,4.05,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,All Causes,919,918.62,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Exposure to forces of nature,0,0.38,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,other sense organ disorders,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Other STDs,0,0.42,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Tuberculosis,35,34.58,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Leprosy,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Rheumatoid arthritis,4,3.68,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Cirrhosis of the liver,15,14.57,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,"Cardiomyopathy, myocarditis, endocarditis",4,4.11,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Mouth and oropharynx cancers,2,2.22,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Onchocerciasis,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Interpersonal violence,33,33.23,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Maternal conditions,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,"Lymphomas, multiple myeloma",5,4.71,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Congenital heart anomalies,6,5.81,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Down's syndrome,1,0.93,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Prostate cancer,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Parasitic and vector diseases,19,19.26,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,other sense organ disorders,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Vitamin A deficiency,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Trichuriasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Preterm birth complications,56,55.91,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Other congenital anomalies,1,0.53,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Gout,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Other vision loss,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Injuries,158,157.61,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Migraine,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Other genitourinary diseases,0,0.31,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Exposure to forces of nature,0,0.01,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Other unintentional injuries,15,14.89,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Other neurological conditions,3,3.32,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Kidney diseases,33,33.20,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Other malignant neoplasms,9,9.23,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Unipolar depressive disorders,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Noncommunicable diseases,64,64.15,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Noncommunicable diseases,330,329.83,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Trachoma,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Neonatal conditions,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Colon and rectum cancers,3,2.68,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Measles,59,59.15,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Peptic ulcer disease,1,0.60,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Anxiety disorders,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Non-migraine headache,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Asthma,5,5.28,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Hookworm disease,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Stroke,3,2.87,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Respiratory infections,33,32.70,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Trypanosomiasis,2,2.35,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Whooping cough,0,0.09,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Childhood behavioural disorders,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Edentulism,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Iron-deficiency anaemia,6,5.64,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Kidney diseases,12,11.64,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Meningitis,32,32.41,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Diabetes mellitus,12,12.27,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Osteoarthritis,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Breast cancer,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Neonatal sepsis and infections,18,18.08,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Schistosomiasis,10,10.16,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Other circulatory diseases,9,8.56,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Other mental and behavioural disorders,0,0.15,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Liver cancer,24,23.64,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Genitourinary diseases,4,4.20,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Other infectious diseases,21,20.87,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Periodontal disease,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Intentional injuries,12,11.84,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Oral conditions,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Bipolar disorder,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Iodine deficiency,0,0.09,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Trichomoniasis,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Other neurological conditions,2,1.65,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Other hearing loss,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Schizophrenia,0,0.39,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Urolithiasis,0,0.23,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Unintentional injuries,98,97.57,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Idiopathic intellectual disability,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Drug use disorders,0,0.27,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Drowning,9,8.99,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Meningitis,16,15.62,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Infertility,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Diabetes mellitus,22,22.26,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Acute hepatitis B,0,0.40,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Stomach cancer,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Other hearing loss,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Infertility,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Other mental and behavioural disorders,1,0.57,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Other circulatory diseases,6,6.41,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Sense organ diseases,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,STDs excluding HIV,3,3.44,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Iron-deficiency anaemia,11,11.27,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Respiratory infections,130,129.84,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Drowning,12,11.91,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Epilepsy,12,11.65,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Infectious and parasitic diseases,654,654.15,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Melanoma and other skin cancers,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Alzheimer's disease and other dementias,1,1.23,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Chronic obstructive pulmonary disease,12,12.47,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Pancreas cancer,1,0.94,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Other digestive diseases,15,14.60,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Back and neck pain,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Gynecological diseases,0,0.41,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Tetanus,0,0.08,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Encephalitis,1,1.39,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Osteoarthritis,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Idiopathic intellectual disability,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Prostate cancer,5,5.40,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Congenital heart anomalies,1,0.72,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Road injury,5,4.99,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Ovary cancer,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Chagas disease,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,HIV/AIDS,195,194.66,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Ascariasis,0,0.01,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,"Endocrine, blood, immune disorders",11,10.74,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Other neoplasms,9,9.35,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Other congenital anomalies,9,8.85,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Other neonatal conditions,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Preterm birth complications,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Injuries,151,150.93,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Tuberculosis,71,71.24,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Other musculoskeletal disorders,1,0.50,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Non-migraine headache,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Leishmaniasis,1,0.65,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Liver cancer,6,5.70,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Cardiovascular diseases,119,118.70,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Other infectious diseases,17,16.58,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Hyperplasia of prostate,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Hypertensive heart disease,8,8.27,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Eating disorders,0,0.31,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Trichomoniasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Cirrhosis of the liver,17,16.87,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,STDs excluding HIV,7,6.98,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Other chromosomal anomalies,1,1.05,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Nutritional deficiencies,90,89.55,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Hookworm disease,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Other unintentional injuries,37,37.36,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Other neurological conditions,9,8.97,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Drug use disorders,1,1.17,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Rheumatoid arthritis,0,0.31,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Neonatal sepsis and infections,16,15.95,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Other neurological conditions,3,2.86,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Other infectious diseases,33,32.73,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Bladder cancer,1,1.04,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Schistosomiasis,4,3.88,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Cardiovascular diseases,131,130.94,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Liver cancer,41,40.55,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Breast cancer,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Leukaemia,1,0.92,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Respiratory diseases,60,60.41,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Leprosy,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Injuries,115,115.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Chagas disease,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Mental and behavioral disorders,4,3.54,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Syphilis,7,6.85,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Other congenital anomalies,9,9.48,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Genitourinary diseases,15,14.63,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,HIV/AIDS,178,178.32,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Other circulatory diseases,1,1.22,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Congenital anomalies,1,1.35,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,"Trachea, bronchus, lung cancers",1,1.04,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Tuberculosis,23,23.50,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Encephalitis,2,2.34,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Other malignant neoplasms,47,47.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Syphilis,2,2.18,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Other unintentional injuries,31,31.10,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Other nutritional deficiencies,0,0.05,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Back and neck pain,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Malignant neoplasms,4,4.06,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Refractive errors,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Rabies,9,8.56,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Liver cancer,4,3.99,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Eating disorders,0,0.18,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Unintentional injuries,148,148.06,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Non-migraine headache,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Self-harm,2,1.62,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Diarrhoeal diseases,79,78.75,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Birth asphyxia and birth trauma,47,46.51,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Iron-deficiency anaemia,6,6.01,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Leprosy,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Chronic obstructive pulmonary disease,10,10.35,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Osteoarthritis,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Epilepsy,8,7.87,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Intentional injuries,14,14.05,,,
