Indicator,PUBLISH STATES,Year,WHO region,World Bank income group,Country,Sex,Display Value,Numeric,Low,High,Comments
Life expectancy at birth (years),Published,2012,Americas,High-income,Canada,Female,84,84,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Switzerland,Female,81,81,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Cyprus,Female,79,79,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Czech Republic,Female,78,78,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Spain,Female,85,85,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Estonia,Female,75,75,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Estonia,Female,81,81,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Finland,Female,79,79,,,
Life expectancy at birth (years),Published,2000,Africa,High-income,Equatorial Guinea,Female,52,52,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Greece,Female,81,81,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Ireland,Female,83,83,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Iceland,Female,81,81,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Iceland,Female,84,84,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Israel,Female,79,79,,,
Life expectancy at birth (years),Published,2000,Western Pacific,High-income,Republic of Korea,Female,80,80,,,
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,High-income,Kuwait,Female,76,76,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Monaco,Female,86,86,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Malta,Female,78,78,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Malta,Female,83,83,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Netherlands,Female,80,80,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Netherlands,Female,83,83,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Norway,Female,80,80,,,
Life expectancy at birth (years),Published,2000,Western Pacific,High-income,New Zealand,Female,81,81,,,
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,High-income,Oman,Female,75,75,,,
Life expectancy at birth (years),Published,2012,Eastern Mediterranean,High-income,Saudi Arabia,Female,78,78,,,
Life expectancy at birth (years),Published,1990,Western Pacific,High-income,Singapore,Female,78,78,,,
Life expectancy at birth (years),Published,2012,Western Pacific,High-income,Singapore,Female,85,85,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,San Marino,Female,83,83,,,
Life expectancy at birth (years),Published,2000,Americas,High-income,Antigua and Barbuda,Female,74,74,,,
Life expectancy at birth (years),Published,2012,Americas,High-income,Antigua and Barbuda,Female,77,77,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Austria,Female,79,79,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Austria,Female,81,81,,,
Life expectancy at birth (years),Published,1990,Americas,High-income,Bahamas,Female,74,74,,,
Life expectancy at birth (years),Published,2000,Americas,High-income,Bahamas,Female,76,76,,,
Life expectancy at birth (years),Published,2012,Americas,High-income,Bahamas,Female,78,78,,,
Life expectancy at birth (years),Published,1990,Western Pacific,High-income,Cook Islands,Female,72,72,,,
Life expectancy at birth (years),Published,2000,Western Pacific,High-income,Cook Islands,Female,75,75,,,
Life expectancy at birth (years),Published,2012,Western Pacific,High-income,Cook Islands,Female,78,78,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Germany,Female,81,81,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Germany,Female,83,83,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Spain,Female,81,81,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Spain,Female,83,83,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,France,Female,82,82,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,France,Female,83,83,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,France,Female,85,85,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Hungary,Female,74,74,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Hungary,Female,76,76,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Hungary,Female,79,79,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Israel,Female,81,81,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Israel,Female,84,84,,,
Life expectancy at birth (years),Published,1990,Western Pacific,High-income,Japan,Female,82,82,,,
Life expectancy at birth (years),Published,2000,Western Pacific,High-income,Japan,Female,85,85,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Luxembourg,Female,79,79,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Luxembourg,Female,81,81,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Luxembourg,Female,84,84,,,
Life expectancy at birth (years),Published,1990,Western Pacific,High-income,Nauru,Female,77,77,,,
Life expectancy at birth (years),Published,2000,Western Pacific,High-income,Nauru,Female,81,81,,,
Life expectancy at birth (years),Published,2012,Western Pacific,High-income,Nauru,Female,83,83,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Portugal,Female,80,80,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Portugal,Female,84,84,,,
Life expectancy at birth (years),Published,1990,Eastern Mediterranean,High-income,Saudi Arabia,Female,71,71,,,
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,High-income,Saudi Arabia,Female,75,75,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Slovakia,Female,75,75,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Slovakia,Female,77,77,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Slovakia,Female,80,80,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Sweden,Female,82,82,,,
Life expectancy at birth (years),Published,2000,Americas,High-income,Trinidad and Tobago,Female,73,73,,,
Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Low-income,Afghanistan,Female,61,61,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,Burundi,Female,51,51,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Burundi,Female,57,57,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,Benin,Female,56,56,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Central African Republic,Female,46,46,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Democratic Republic of the Congo,Female,50,50,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Eritrea,Female,66,66,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,Ethiopia,Female,48,48,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Ethiopia,Female,65,65,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,Ghana,Female,58,58,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Ghana,Female,64,64,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,Guinea,Female,48,48,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Guinea-Bissau,Female,53,53,,,
Life expectancy at birth (years),Published,2000,Americas,Low-income,Haiti,Female,57,57,,,
Life expectancy at birth (years),Published,2012,Western Pacific,Low-income,Cambodia,Female,75,75,,,
Life expectancy at birth (years),Published,1990,Western Pacific,Low-income,Lao People's Democratic Republic,Female,54,54,,,
Life expectancy at birth (years),Published,2012,Western Pacific,Low-income,Lao People's Democratic Republic,Female,67,67,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,Liberia,Female,46,46,,,
Life expectancy at birth (years),Published,2000,South-East Asia,Low-income,Myanmar,Female,64,64,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Mozambique,Female,49,49,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Niger,Female,59,59,,,
Life expectancy at birth (years),Published,1990,Western Pacific,Low-income,Niue,Female,75,75,,,
Life expectancy at birth (years),Published,2012,Western Pacific,Low-income,Niue,Female,78,78,,,
Life expectancy at birth (years),Published,1990,South-East Asia,Low-income,Nepal,Female,55,55,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Senegal,Female,59,59,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Sierra Leone,Female,39,39,,,
Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Low-income,South Sudan,Female,56,56,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,Chad,Female,47,47,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Chad,Female,52,52,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,Togo,Female,57,57,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Togo,Female,59,59,,,
Life expectancy at birth (years),Published,1990,Europe,Low-income,Tajikistan,Female,65,65,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Uganda,Female,46,46,,,
Life expectancy at birth (years),Published,2000,Europe,Low-income,Uzbekistan,Female,69,69,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Zambia,Female,58,58,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,Zimbabwe,Female,64,64,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Zimbabwe,Female,60,60,,,
Life expectancy at birth (years),Published,2000,Europe,Lower-middle-income,Armenia,Female,74,74,,,
Life expectancy at birth (years),Published,2000,Europe,Lower-middle-income,Azerbaijan,Female,69,69,,,
Life expectancy at birth (years),Published,2012,South-East Asia,Lower-middle-income,Bhutan,Female,69,69,,,
Life expectancy at birth (years),Published,1990,Western Pacific,Lower-middle-income,China,Female,71,71,,,
Life expectancy at birth (years),Published,2012,Western Pacific,Lower-middle-income,China,Female,77,77,,,
Life expectancy at birth (years),Published,1990,Africa,Lower-middle-income,C?te d'Ivoire,Female,54,54,,,
Life expectancy at birth (years),Published,2000,Africa,Lower-middle-income,Congo,Female,53,53,,,
Life expectancy at birth (years),Published,2000,Africa,Lower-middle-income,Cabo Verde,Female,73,73,,,
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Djibouti,Female,59,59,,,
Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Egypt,Female,74,74,,,
Life expectancy at birth (years),Published,1990,Western Pacific,Lower-middle-income,Micronesia (Federated States of),Female,67,67,,,
Life expectancy at birth (years),Published,2012,Western Pacific,Lower-middle-income,Micronesia (Federated States of),Female,70,70,,,
Life expectancy at birth (years),Published,1990,Europe,Lower-middle-income,Georgia,Female,75,75,,,
Life expectancy at birth (years),Published,2000,Americas,Lower-middle-income,Honduras,Female,73,73,,,
Life expectancy at birth (years),Published,2000,South-East Asia,Lower-middle-income,Indonesia,Female,69,69,,,
Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Iraq,Female,74,74,,,
Life expectancy at birth (years),Published,1990,Eastern Mediterranean,Lower-middle-income,Jordan,Female,71,71,,,
Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Jordan,Female,75,75,,,
Life expectancy at birth (years),Published,1990,Western Pacific,Lower-middle-income,Kiribati,Female,62,62,,,
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Morocco,Female,70,70,,,
Life expectancy at birth (years),Published,2000,Europe,Lower-middle-income,Republic of Moldova,Female,71,71,,,
Life expectancy at birth (years),Published,2012,Western Pacific,Lower-middle-income,Mongolia,Female,72,72,,,
Life expectancy at birth (years),Published,1990,Africa,Lower-middle-income,Nigeria,Female,47,47,,,
Life expectancy at birth (years),Published,2012,Africa,Lower-middle-income,Nigeria,Female,55,55,,,
Life expectancy at birth (years),Published,1990,Americas,Lower-middle-income,Nicaragua,Female,74,74,,,
Life expectancy at birth (years),Published,2000,Western Pacific,Lower-middle-income,Philippines,Female,73,73,,,
Life expectancy at birth (years),Published,2000,Western Pacific,Lower-middle-income,Papua New Guinea,Female,61,61,,,
Life expectancy at birth (years),Published,2000,Americas,Lower-middle-income,Paraguay,Female,77,77,,,
Life expectancy at birth (years),Published,2012,Western Pacific,Lower-middle-income,Solomon Islands,Female,70,70,,,
Life expectancy at birth (years),Published,1990,Americas,Lower-middle-income,El Salvador,Female,70,70,,,
Life expectancy at birth (years),Published,2012,Americas,Lower-middle-income,El Salvador,Female,77,77,,,
Life expectancy at birth (years),Published,1990,Africa,Lower-middle-income,Sao Tome and Principe,Female,63,63,,,
Life expectancy at birth (years),Published,2000,South-East Asia,Lower-middle-income,Thailand,Female,75,75,,,
Life expectancy at birth (years),Published,2000,Europe,Lower-middle-income,Turkmenistan,Female,65,65,,,
Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Tunisia,Female,78,78,,,
Life expectancy at birth (years),Published,1990,Europe,Lower-middle-income,Ukraine,Female,75,75,,,
Life expectancy at birth (years),Published,2012,Europe,Lower-middle-income,Ukraine,Female,76,76,,,
Life expectancy at birth (years),Published,1990,Western Pacific,Lower-middle-income,Vanuatu,Female,67,67,,,
Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Argentina,Female,78,78,,,
Life expectancy at birth (years),Published,2000,Europe,Upper-middle-income,Bulgaria,Female,75,75,,,
Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Brazil,Female,77,77,,,
Life expectancy at birth (years),Published,1990,Africa,Upper-middle-income,Botswana,Female,66,66,,,
Life expectancy at birth (years),Published,2012,Africa,Upper-middle-income,Botswana,Female,63,63,,,
Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Chile,Female,76,76,,,
Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Costa Rica,Female,79,79,,,
Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Cuba,Female,79,79,,,
Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Dominica,Female,76,76,,,
Life expectancy at birth (years),Published,2012,Africa,Upper-middle-income,Algeria,Female,73,73,,,
Life expectancy at birth (years),Published,1990,Western Pacific,Upper-middle-income,Fiji,Female,68,68,,,
Life expectancy at birth (years),Published,2012,Western Pacific,Upper-middle-income,Fiji,Female,73,73,,,
Life expectancy at birth (years),Published,1990,Africa,Upper-middle-income,Gabon,Female,63,63,,,
Life expectancy at birth (years),Published,2000,Europe,Upper-middle-income,Kazakhstan,Female,68,68,,,
Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Saint Kitts and Nevis,Female,74,74,,,
Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Saint Lucia,Female,79,79,,,
Life expectancy at birth (years),Published,1990,Europe,Upper-middle-income,Lithuania,Female,76,76,,,
Life expectancy at birth (years),Published,2012,Europe,Upper-middle-income,Lithuania,Female,80,80,,,
Life expectancy at birth (years),Published,1990,Europe,Upper-middle-income,Latvia,Female,74,74,,,
Life expectancy at birth (years),Published,2000,Europe,Upper-middle-income,Montenegro,Female,77,77,,,
Life expectancy at birth (years),Published,2000,Africa,Upper-middle-income,Mauritius,Female,75,75,,,
Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Panama,Female,80,80,,,
Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Peru,Female,72,72,,,
Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Peru,Female,79,79,,,
Life expectancy at birth (years),Published,1990,Western Pacific,Upper-middle-income,Palau,Female,68,68,,,
Life expectancy at birth (years),Published,2000,Europe,Upper-middle-income,Romania,Female,75,75,,,
Life expectancy at birth (years),Published,2000,Europe,Upper-middle-income,Russian Federation,Female,72,72,,,
Life expectancy at birth (years),Published,2000,Europe,Upper-middle-income,Serbia,Female,75,75,,,
Life expectancy at birth (years),Published,2012,Africa,Upper-middle-income,Seychelles,Female,78,78,,,
Life expectancy at birth (years),Published,1990,Europe,Upper-middle-income,Turkey,Female,68,68,,,
Life expectancy at birth (years),Published,2012,Europe,Upper-middle-income,Turkey,Female,78,78,,,
Life expectancy at birth (years),Published,1990,Western Pacific,Upper-middle-income,Tuvalu,Female,64,64,,,
Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Venezuela (Bolivarian Republic of),Female,77,77,,,
Life expectancy at birth (years),Published,2000,Africa,Upper-middle-income,South Africa,Female,62,62,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Slovenia,Female,83,83,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Sweden,Female,81,81,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Sweden,Female,84,84,,,
Life expectancy at birth (years),Published,1990,Americas,High-income,Trinidad and Tobago,Female,71,71,,,
Life expectancy at birth (years),Published,2012,Americas,High-income,Trinidad and Tobago,Female,74,74,,,
Life expectancy at birth (years),Published,1990,Americas,High-income,United States of America,Female,79,79,,,
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,Low-income,Afghanistan,Female,56,56,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Burundi,Female,50,50,,,
Life expectancy at birth (years),Published,2012,South-East Asia,Low-income,Bangladesh,Female,71,71,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,Central African Republic,Female,50,50,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Central African Republic,Female,52,52,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,Democratic Republic of the Congo,Female,51,51,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Ethiopia,Female,53,53,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Ghana,Female,59,59,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Guinea-Bissau,Female,56,56,,,
Life expectancy at birth (years),Published,1990,Americas,Low-income,Haiti,Female,56,56,,,
Life expectancy at birth (years),Published,2012,Americas,Low-income,Haiti,Female,64,64,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,Kenya,Female,62,62,,,
Life expectancy at birth (years),Published,2000,Western Pacific,Low-income,Lao People's Democratic Republic,Female,61,61,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Liberia,Female,52,52,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Mali,Female,57,57,,,
Life expectancy at birth (years),Published,1990,South-East Asia,Low-income,Myanmar,Female,61,61,,,
Life expectancy at birth (years),Published,2012,South-East Asia,Low-income,Myanmar,Female,68,68,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,Mozambique,Female,45,45,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Mozambique,Female,54,54,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,Mauritania,Female,60,60,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Niger,Female,50,50,,,
Life expectancy at birth (years),Published,2000,Western Pacific,Low-income,Niue,Female,76,76,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Rwanda,Female,66,66,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,Senegal,Female,59,59,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Senegal,Female,66,66,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,Sierra Leone,Female,38,38,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Chad,Female,47,47,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Togo,Female,56,56,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Uganda,Female,58,58,,,
Life expectancy at birth (years),Published,1990,Europe,Low-income,Uzbekistan,Female,70,70,,,
Life expectancy at birth (years),Published,2012,Europe,Low-income,Uzbekistan,Female,72,72,,,
Life expectancy at birth (years),Published,1990,Western Pacific,Low-income,Viet Nam,Female,75,75,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Zimbabwe,Female,42,42,,,
Life expectancy at birth (years),Published,2012,Europe,Lower-middle-income,Albania,Female,75,75,,,
Life expectancy at birth (years),Published,1990,Europe,Lower-middle-income,Armenia,Female,71,71,,,
Life expectancy at birth (years),Published,2012,Europe,Lower-middle-income,Armenia,Female,75,75,,,
Life expectancy at birth (years),Published,1990,Europe,Lower-middle-income,Azerbaijan,Female,66,66,,,
Life expectancy at birth (years),Published,1990,Americas,Lower-middle-income,Belize,Female,74,74,,,
Life expectancy at birth (years),Published,2000,South-East Asia,Lower-middle-income,Bhutan,Female,60,60,,,
Life expectancy at birth (years),Published,2000,Western Pacific,Lower-middle-income,China,Female,73,73,,,
Life expectancy at birth (years),Published,2012,Africa,Lower-middle-income,Congo,Female,60,60,,,
Life expectancy at birth (years),Published,1990,Africa,Lower-middle-income,Cabo Verde,Female,68,68,,,
Life expectancy at birth (years),Published,2012,Africa,Lower-middle-income,Cabo Verde,Female,78,78,,,
Life expectancy at birth (years),Published,1990,Eastern Mediterranean,Lower-middle-income,Djibouti,Female,59,59,,,
Life expectancy at birth (years),Published,2000,Western Pacific,Lower-middle-income,Micronesia (Federated States of),Female,68,68,,,
Life expectancy at birth (years),Published,2000,Europe,Lower-middle-income,Georgia,Female,76,76,,,
Life expectancy at birth (years),Published,2012,Americas,Lower-middle-income,Honduras,Female,77,77,,,
Life expectancy at birth (years),Published,1990,South-East Asia,Lower-middle-income,Indonesia,Female,64,64,,,
Life expectancy at birth (years),Published,2012,South-East Asia,Lower-middle-income,Indonesia,Female,73,73,,,
Life expectancy at birth (years),Published,1990,South-East Asia,Lower-middle-income,India,Female,58,58,,,
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Iraq,Female,73,73,,,
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Jordan,Female,73,73,,,
Life expectancy at birth (years),Published,2000,Western Pacific,Lower-middle-income,Kiribati,Female,66,66,,,
Life expectancy at birth (years),Published,2012,Africa,Lower-middle-income,Lesotho,Female,52,52,,,
Life expectancy at birth (years),Published,1990,Eastern Mediterranean,Lower-middle-income,Morocco,Female,66,66,,,
Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Morocco,Female,73,73,,,
Life expectancy at birth (years),Published,1990,Europe,Lower-middle-income,Republic of Moldova,Female,72,72,,,
Life expectancy at birth (years),Published,2000,Western Pacific,Lower-middle-income,Mongolia,Female,66,66,,,
Life expectancy at birth (years),Published,2000,Africa,Lower-middle-income,Nigeria,Female,48,48,,,
Life expectancy at birth (years),Published,2012,Western Pacific,Lower-middle-income,Philippines,Female,72,72,,,
Life expectancy at birth (years),Published,1990,Western Pacific,Lower-middle-income,Papua New Guinea,Female,59,59,,,
Life expectancy at birth (years),Published,2012,Western Pacific,Lower-middle-income,Papua New Guinea,Female,65,65,,,
Life expectancy at birth (years),Published,1990,Americas,Lower-middle-income,Paraguay,Female,76,76,,,
Life expectancy at birth (years),Published,2000,Americas,Lower-middle-income,El Salvador,Female,74,74,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Benin,Female,56,56,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Benin,Female,60,60,,,
Life expectancy at birth (years),Published,1990,South-East Asia,Low-income,Bangladesh,Female,59,59,,,
Life expectancy at birth (years),Published,2000,South-East Asia,Low-income,Bangladesh,Female,65,65,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,Comoros,Female,58,58,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Comoros,Female,60,60,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Comoros,Female,63,63,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,Gambia,Female,53,53,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Gambia,Female,58,58,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Gambia,Female,63,63,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Kenya,Female,53,53,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Kenya,Female,62,62,,,
Life expectancy at birth (years),Published,1990,Western Pacific,Low-income,Cambodia,Female,57,57,,,
Life expectancy at birth (years),Published,2000,Western Pacific,Low-income,Cambodia,Female,63,63,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,Madagascar,Female,53,53,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Madagascar,Female,59,59,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Madagascar,Female,65,65,,,
